kepid,radius,mass,cdpp6,koi_count
2309524,0.54,0.54,68.687,0
2422890,0.593,0.59,78.798,0
2449101,0.35,0.35,187.56900000000002,0
2572698,0.504,0.51,148.332,0
2554730,0.32899999999999996,0.33,184.546,0
2423549,0.44,0.45,290.905,0
2693779,0.563,0.57,502.68800000000005,0
2707091,0.37,0.39,982.938,0
2441562,0.38,0.4,331.11800000000005,0
2555396,0.586,0.59,630.099,0
2694186,0.154,0.13,341.36,0
2694204,0.11599999999999999,0.09,657.8,0
2441891,0.467,0.48,263.074,0
2555523,0.52,0.52,224.298,0
2578811,0.485,0.49,46.677,0
2694347,0.154,0.13,460.535,0
2442004,0.565,0.57,464.17699999999996,0
2450412,0.489,0.5,23.578000000000003,0
2574201,0.44,0.46,264.862,0
2713086,0.55,0.55,406.981,0
2424688,0.535,0.55,364.49,0
2446934,0.48,0.49,315.21299999999997,0
2447027,0.5539999999999999,0.56,77.645,0
2574427,0.541,0.55,200.141,0
2708570,0.569,0.57,308.95099999999996,0
2713304,0.56,0.58,742.051,0
2556387,0.389,0.4,68.82300000000001,0
2451529,0.28800000000000003,0.28,348.80400000000003,0
2556650,0.46399999999999997,0.48,313.83,1.0
2721113,0.297,0.32,253.24099999999999,0
2837405,0.41,0.43,378.658,0
2849808,0.11599999999999999,0.09,319.025,0
2849894,0.34,0.35,360.64599999999996,0
2998208,0.4,0.42,358.39599999999996,0
3102171,0.49700000000000005,0.52,350.603,0
2988458,0.45299999999999996,0.47,156.589,0
3111455,0.11599999999999999,0.09,672.806,0
2834075,0.537,0.56,172.445,0
2973361,0.431,0.45,217.033,0
2973386,0.523,0.54,213.294,1.0
2973500,0.36,0.38,232.416,0
2834564,0.38,0.4,157.929,0
2859114,0.28800000000000003,0.28,165.50099999999998,0
3102763,0.37,0.39,355.07199999999995,0
3111995,0.28800000000000003,0.28,342.825,0
2834612,0.45399999999999996,0.47,301.04,0
2834637,0.201,0.18,381.342,0
2834778,0.43,0.45,304.584,0
2995313,0.11599999999999999,0.09,456.629,0
3099491,0.327,0.33,280.296,0
3099533,0.327,0.33,198.812,0
3103172,0.35,0.37,432.32199999999995,0
2847357,0.426,0.45,275.14099999999996,0
2969839,0.461,0.47,346.457,0
3099900,0.36200000000000004,0.39,269.853,0
2835393,0.415,0.44,358.045,0
2970010,0.555,0.56,79.286,0
2970068,0.5760000000000001,0.58,427.01300000000003,0
2991497,0.55,0.56,246.582,0
3103752,0.321,0.32,585.065,0
3116544,0.47,0.48,86.65799999999999,0
2831828,0.131,0.11,4523.235,0
2831957,0.45799999999999996,0.48,787.1060000000001,0
2970823,0.53,0.54,392.46,0
